image_id,objects,relationships
770,"[{'object_id': 1637131, 'name': 'crosswalk', 'bbox': [38, 453, 785, 586], 'area': 99351, 'attributes': ['red', ' brick']}, {'object_id': 1637153, 'name': 'truck', 'bbox': [388, 300, 717, 496], 'area': 64484, 'attributes': ['white', ' van', ' mercedes']}, {'object_id': 1637140, 'name': 'van', 'bbox': [395, 307, 719, 497], 'area': 61560, 'attributes': ['white', ' parked']}, {'object_id': 1637146, 'name': 'car', 'bbox': [163, 353, 401, 493], 'area': 33320, 'attributes': ['parked', ' gray', ' small']}, {'object_id': 1637145, 'name': 'car', 'bbox': [150, 368, 407, 484], 'area': 29812, 'attributes': ['gray', ' parked']}]",[]
861,"[{'object_id': 1030020, 'name': 'building', 'bbox': [69, 0, 796, 318], 'area': 231186, 'attributes': ['busy', ' crowded', ' narrow', ' covered']}, {'object_id': 1030014, 'name': 'tiles', 'bbox': [176, 315, 694, 599], 'area': 147112, 'attributes': ['brown', ' square', ' ceramic']}, {'object_id': 1030022, 'name': 'awning', 'bbox': [41, 0, 537, 269], 'area': 133424, 'attributes': ['clear', ' plastic', ' slanted']}, {'object_id': 1030024, 'name': 'cotton candy', 'bbox': [3, 225, 68, 404], 'area': 11635, 'attributes': ['pink', ' fluffy', ' delicious']}, {'object_id': 1030044, 'name': 'shutters', 'bbox': [423, 139, 552, 198], 'area': 7611, 'attributes': ['green', ' open']}]",[]
1017,"[{'object_id': 1541014, 'name': 'artwork', 'bbox': [3, 3, 457, 388], 'area': 174790, 'attributes': ['interesting', ' abstract', ' framed']}, {'object_id': 3532856, 'name': 'pictures', 'bbox': [1, 0, 453, 386], 'area': 174472, 'attributes': ['interesting', ' varied', ' small', ' contemporary']}, {'object_id': 1541015, 'name': 'black frame', 'bbox': [3, 67, 216, 342], 'area': 58575, 'attributes': ['black', ' empty', ' picture']}, {'object_id': 1541018, 'name': 'black artwork', 'bbox': [3, 62, 205, 345], 'area': 57166, 'attributes': ['black', ' framed']}, {'object_id': 3568085, 'name': 'background', 'bbox': [7, 85, 196, 314], 'area': 43281, 'attributes': ['beige', ' textured']}]","[{'subject_id': 3568085, 'object_id': 1541018, 'relationships': ['behind']}]"
2748,"[{'object_id': 1034635, 'name': 'trees', 'bbox': [124, 74, 775, 350], 'area': 179676, 'attributes': ['green', ' tall']}, {'object_id': 1034632, 'name': 'outside', 'bbox': [29, 20, 743, 227], 'area': 147798, 'attributes': ['green', ' lush', ' spacious']}, {'object_id': 1034626, 'name': 'evergreens', 'bbox': [463, 45, 690, 363], 'area': 72186, 'attributes': ['tall', ' green']}, {'object_id': 1034634, 'name': 'lawn', 'bbox': [82, 318, 795, 416], 'area': 69874, 'attributes': ['green', ' grassy', ' long']}, {'object_id': 1034625, 'name': 'path', 'bbox': [107, 355, 796, 432], 'area': 53053, 'attributes': ['concrete', ' wide', ' curved']}]","[{'subject_id': 1034645, 'object_id': 1034635, 'relationships': ['on', ' part of']}, {'subject_id': 1034624, 'object_id': 1034633, 'relationships': ['next to', ' on']}, {'subject_id': 1034633, 'object_id': 1034627, 'relationships': ['next to', ' beside']}, {'subject_id': 1034624, 'object_id': 1034625, 'relationships': ['next to']}]"
3891,"[{'object_id': 4355114, 'name': 'water', 'bbox': [6, 231, 797, 599], 'area': 291088, 'attributes': ['blue', ' wavy', ' vast']}, {'object_id': 4355177, 'name': 'ships', 'bbox': [45, 130, 666, 463], 'area': 206793, 'attributes': ['gray', ' large', ' aircraft', ' carriers']}, {'object_id': 4556214, 'name': 'boat', 'bbox': [45, 144, 690, 464], 'area': 206400, 'attributes': ['gray', ' large', ' aircraft', ' carrier']}, {'object_id': 4355172, 'name': 'sky', 'bbox': [1, 6, 795, 257], 'area': 199294, 'attributes': ['gray', ' large', ' aircraft', ' carrier']}, {'object_id': 4355112, 'name': 'boats', 'bbox': [56, 130, 684, 441], 'area': 195308, 'attributes': ['gray', ' large', ' aircraft', ' carriers']}]","[{'subject_id': 4355161, 'object_id': 4355122, 'relationships': ['in', ' front of', ' above']}, {'subject_id': 4355171, 'object_id': 4355172, 'relationships': ['in']}, {'subject_id': 4355180, 'object_id': 4355181, 'relationships': ['in', ' within']}, {'subject_id': 4355190, 'object_id': 4355191, 'relationships': ['in', ' below']}, {'subject_id': 4355186, 'object_id': 4355187, 'relationships': ['in', ' front of']}, {'subject_id': 4355173, 'object_id': 4355174, 'relationships': ['in', ' front of', ' behind', ' above', ' under']}, {'subject_id': 4355182, 'object_id': 4355183, 'relationships': ['in', ' front of']}, {'subject_id': 4355113, 'object_id': 4355114, 'relationships': ['on', ' in']}, {'subject_id': 4355159, 'object_id': 4355114, 'relationships': ['on', ' in']}, {'subject_id': 4355178, 'object_id': 4355179, 'relationships': ['in', ' front of', ' behind', ' above']}, {'subject_id': 4355115, 'object_id': 4355114, 'relationships': ['on', ' in']}, {'subject_id': 4355164, 'object_id': 4355122, 'relationships': ['in', ' front of']}, {'subject_id': 4355166, 'object_id': 4355122, 'relationships': ['in', ' front of']}, {'subject_id': 4355189, 'object_id': 4355188, 'relationships': ['in', ' below']}, {'subject_id': 4355176, 'object_id': 4355175, 'relationships': ['in', ' front of']}, {'subject_id': 4355112, 'object_id': 4355114, 'relationships': ['on', ' in']}, {'subject_id': 4355184, 'object_id': 4355185, 'relationships': ['in', ' below']}]"
150259,"[{'object_id': 1073865, 'name': 'floor', 'bbox': [2, 789, 613, 1021], 'area': 141752, 'attributes': ['tiled', ' pink', ' square']}, {'object_id': 1073877, 'name': 'cabinets', 'bbox': [166, 107, 676, 377], 'area': 137700, 'attributes': ['off-white', ' wooden', ' wall-mounted']}, {'object_id': 1073864, 'name': 'backsplash', 'bbox': [0, 378, 659, 553], 'area': 115325, 'attributes': ['beige', ' ceramic']}, {'object_id': 1073881, 'name': 'drawer', 'bbox': [407, 569, 638, 761], 'area': 44352, 'attributes': ['closed', ' white']}, {'object_id': 1073862, 'name': 'refrigerator', 'bbox': [1, 602, 142, 884], 'area': 39762, 'attributes': ['small', ' white', ' under-counter']}]","[{'subject_id': 1073880, 'object_id': 1073881, 'relationships': ['attached to']}, {'subject_id': 1073860, 'object_id': 1073864, 'relationships': ['hanging on']}, {'subject_id': 1073855, 'object_id': 1073865, 'relationships': ['on', ' above']}, {'subject_id': 1073856, 'object_id': 1073857, 'relationships': ['in']}, {'subject_id': 1073885, 'object_id': 1073855, 'relationships': ['in']}, {'subject_id': 1073868, 'object_id': 1073857, 'relationships': ['in']}, {'subject_id': 1073878, 'object_id': 1073879, 'relationships': ['attached to']}]"
1160221,"[{'object_id': 1603022, 'name': 'snow', 'bbox': [6, 287, 323, 709], 'area': 133774, 'attributes': ['white', ' powdery', ' fresh']}, {'object_id': 1603017, 'name': 'snow', 'bbox': [15, 292, 300, 697], 'area': 115425, 'attributes': ['packed', ' white']}, {'object_id': 1603021, 'name': 'snow', 'bbox': [701, 301, 1021, 649], 'area': 111360, 'attributes': ['white', ' packed']}, {'object_id': 1603011, 'name': 'snowboard', 'bbox': [95, 641, 1001, 760], 'area': 107814, 'attributes': ['red', ' snowboard']}, {'object_id': 1603026, 'name': 'snowboard', 'bbox': [108, 650, 1022, 767], 'area': 106938, 'attributes': ['red', ' snowboard']}]",[]
1591952,"[{'object_id': 1605478, 'name': 'scarf', 'bbox': [557, 112, 741, 635], 'area': 96232, 'attributes': ['red', ' orange']}, {'object_id': 1605480, 'name': 'shirt', 'bbox': [842, 165, 1004, 640], 'area': 76950, 'attributes': ['shirt: white', ' collared', ' short-sleeve', ' untucked']}, {'object_id': 3707994, 'name': 'shirt', 'bbox': [348, 117, 502, 396], 'area': 42966, 'attributes': ['shirt: yellow', ' short-sleeve', ' collared', ' printed']}, {'object_id': 1605476, 'name': 'purse', 'bbox': [706, 201, 754, 388], 'area': 8976, 'attributes': ['black', ' rectangular', ' shiny', ' leather']}]",[]
1592428,"[{'object_id': 4443084, 'name': 'people', 'bbox': [246, 83, 670, 526], 'area': 187832, 'attributes': ['people: standing', ' working', ' casual']}, {'object_id': 4443089, 'name': 'chair', 'bbox': [618, 243, 906, 678], 'area': 125280, 'attributes': ['beige', ' stuffed', ' teddy bear']}, {'object_id': 4443078, 'name': 'bear', 'bbox': [609, 231, 886, 644], 'area': 114401, 'attributes': ['beige', ' plush', ' stuffed', ' sitting', ' small', ' bowtie']}, {'object_id': 4443092, 'name': 'curtain', 'bbox': [652, 5, 990, 340], 'area': 113230, 'attributes': ['beige', ' teddy bear', ' stuffed']}, {'object_id': 4443060, 'name': 'bear', 'bbox': [621, 224, 877, 614], 'area': 99840, 'attributes': ['brown', ' plush', ' stuffed', ' cute']}]",[]
1592852,"[{'object_id': 1613634, 'name': 'person', 'bbox': [72, 12, 662, 652], 'area': 377600, 'attributes': ['person: Indian', ' male', ' young', ' professional', ' confident']}, {'object_id': 1613644, 'name': 'tie', 'bbox': [227, 200, 660, 741], 'area': 234253, 'attributes': ['man', ' brown', ' white', ' gray', ' black']}, {'object_id': 1613638, 'name': 'headphones', 'bbox': [248, 191, 566, 302], 'area': 35298, 'attributes': ['black', ' over-the-ear']}, {'object_id': 1613645, 'name': 'design', 'bbox': [14, 483, 221, 640], 'area': 32499, 'attributes': ['brown', ' wooden']}, {'object_id': 1613651, 'name': 'paint', 'bbox': [748, 246, 982, 374], 'area': 29952, 'attributes': ['yellow', ' splotchy']}]",[]
